State,District,Latitude,Longitude,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,sex_ratio,literacy_rate
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,2605914,1000322,814959,763944,383943,380001,15702,7943,7759,1169880,749633,420247,837271,332609,1436034,165170,539412,32027,433271,2391675,123749,83334,401,236,1280,244610,598412,15396,758209,169844,412237,418769,386652,186394,227530,1364411,764669,473617,19828,178515,99.0,70.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,1506843,527599,390110,245392,124706,120686,63044,32130,30914,751170,446057,305113,652996,98174,755673,201328,267345,15341,267156,1452956,38304,14089,164,39,37,104785,337972,3651,487926,129778,240222,221194,177877,103367,112592,804186,434328,267536,5843,107968,95.0,61.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,2159775,816180,665654,452376,225573,226803,8064,4095,3969,1105155,665469,439686,963017,142138,1054620,165405,467959,30829,440962,1879494,105012,169945,313,256,71,209640,500057,9155,713542,207751,386421,372636,282628,153100,163050,1065734,647806,443528,15538,147737,100.0,69.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,2251744,828300,664362,369483,184408,185075,21880,11024,10856,1195773,732083,463690,1111051,84722,1055971,178170,370212,54322,593069,2115455,76098,55899,435,148,639,371015,595211,18604,843684,175017,345914,319484,269016,155344,215514,1006543,701326,542295,33405,288543,99.0,66.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,3998252,1611461,1401921,948081,474264,473817,41210,20605,20605,1673814,1181308,492506,1367378,306436,2324438,89343,272514,54732,1257225,3537399,173785,256762,1620,990,4962,622095,961161,100322,1213504,183054,535947,608188,634172,312208,526886,2076492,1200284,715895,68427,418526,99.0,75.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,1870374,780541,768197,74249,36817,37432,7282,3554,3728,679620,524629,154991,552658,126962,1190754,15610,72867,35789,555354,909872,78590,876299,160,438,156,199188,465692,15673,598041,134236,331559,314029,322511,226312,254107,887052,556548,425849,21577,115092,102.0,83.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,1064493,401726,325318,221385,108809,112576,575,297,278,543298,329034,214264,508507,34791,521195,85872,200837,11340,245249,993666,53292,16483,115,29,7,135831,264949,4915,364661,76629,190229,167466,146666,77874,85595,501585,320645,241843,10648,117119,102.0,68.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,3038252,1223810,1049620,408976,205098,203878,11096,5622,5474,1354632,902704,451928,1173902,180730,1683620,92719,372828,47293,841792,2760502,168881,97711,520,199,1532,391821,754141,34097,1010441,234611,525151,532616,453509,250285,363152,1528178,913715,593827,30852,228557,99.0,75.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,1616450,640916,572092,509767,252332,257435,3756,1847,1909,671994,461174,210820,486328,185666,944456,67482,345057,11555,247900,1435072,128617,47579,184,450,963,143846,381940,5585,517740,136593,323359,313357,249630,122350,125639,828444,463326,323706,9042,86939,103.0,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,1726601,653312,522819,345392,173973,171419,57059,29383,27676,898245,531463,366782,839152,59093,828356,158473,253726,38797,447249,1673652,32483,16909,183,108,84,265276,441044,8960,627484,123573,297179,247516,214836,126468,169206,817905,510413,397064,18550,212434,99.0,68.0
